ID,Title,Tags,Rating,Solved,Accepted
1921G,Mischievous Shooter,"brute force, data structures, divide and conquer, dp, implementation",1500,546,0
1921F,Sum of Progression,"brute force, data structures, dp, implementation, math",1500,1854,0
1921E,Eat the Chip,"brute force, games, greedy",1500,5858,0
1921D,Very Different Array,"data structures, greedy, sortings, two pointers",1500,14039,0
1921C,Sending Messages,"greedy, math",1500,20474,0
1921B,Arranging Cats,"greedy, implementation",1500,24709,0
1921A,Square,"greedy, math",1500,29635,0
1920F2,Smooth Sailing (Hard Version),"binary search, data structures, dsu, geometry, graphs, trees",3000,197,0
1920F1,Smooth Sailing (Easy Version),"binary search, brute force, data structures, dfs and similar, dsu, graphs, shortest paths",2500,521,0
1920E,Counting Binary Strings,"combinatorics, dp, math",2100,1430,0
1920D,Array Repetition,"binary search, brute force, dsu, implementation, math",1800,3539,0
1920C,Partitioning the Array,"brute force, math, number theory",1500,8459,0
1920B,Summation Game,"games, greedy, math, sortings",1100,15131,0
1920A,Satisfying Constraints,"brute force, greedy, math",800,21894,0
1919H,Tree Diameter,"interactive, trees",3500,78,0
1919G,Tree LGM,"constructive algorithms, divide and conquer, games, trees",3500,79,1
1919F2,Wine Factory (Hard Version),"data structures, dp, flows, greedy, matrices",2800,561,1
1919F1,Wine Factory (Easy Version),"data structures, greedy",2300,1643,1
1919E,Counting Prefixes,"combinatorics, constructive algorithms, dp, implementation, math",2600,579,1
1919D,01 Tree,"constructive algorithms, data structures, dsu, greedy, sortings, trees",2100,2998,1
1919C,Grouping Increases,"data structures, dp, greedy",1400,13893,1
1919B,Plus-Minus Split,greedy,800,25619,1
1919A,Wallet Exchange,"games, math",800,27798,1
1917F,Construct Tree,"bitmasks, constructive algorithms, dp, trees",2500,693,1
1917E,Construct Matrix,"constructive algorithms, math",2500,981,1
1917D,Yet Another Inversions Problem,"combinatorics, data structures, dp, implementation, math, number theory",2300,1368,1
1917C,Watering an Array,"brute force, greedy, implementation, math",1600,7680,1
1917B,Erase First or Second Letter,"brute force, combinatorics, data structures, dp, strings",1100,15725,1
1917A,Least Product,"constructive algorithms, math",800,21150,1
1916H2,Matrix Rank (Hard Version),"combinatorics, dp, math, matrices, string suffix structures",2700,453,1
1916H1,Matrix Rank (Easy Version),"brute force, combinatorics, dp, math, matrices",2700,527,1
1916G,Optimizations From Chelsu,"divide and conquer, dp, number theory, trees",3500,81,0
1916F,Group Division,"constructive algorithms, dfs and similar, graphs, greedy",2900,290,0
1916E,Happy Life in University,"data structures, dfs and similar, greedy, trees",2300,1821,1
1916D,Mathematical Problem,"brute force, constructive algorithms, geometry, math",1700,6843,1
1916C,Training Before the Olympiad,"constructive algorithms, games, greedy, implementation, math",1200,14424,1
1916B,Two Divisors,"constructive algorithms, math, number theory",900,20011,1
1916A,2023,"constructive algorithms, implementation, math, number theory",800,21985,1
1915G,Bicycles,"graphs, greedy, implementation, shortest paths, sortings",1800,4082,0
1915F,Greetings,"data structures, divide and conquer, sortings",1500,8945,1
1915E,Romantic Glasses,"data structures, greedy, math",1300,14462,1
1915D,Unnatural Language Processing,"greedy, implementation, strings",900,22740,1
1915C,Can I Square?,"binary search, implementation",800,30225,1
1915B,Not Quite Latin Square,"bitmasks, brute force, implementation",800,31925,1
1915A,Odd One Out,"bitmasks, implementation",800,38411,1
1914G2,Light Bulbs (Hard Version),"combinatorics, data structures, dfs and similar, dp, graphs, hashing",2300,972,0
1914G1,Light Bulbs (Easy Version),"brute force, combinatorics, dfs and similar, dp, dsu, graphs, math, trees",2100,1357,0
1914F,Programming Competition,"dfs and similar, dp, graph matchings, greedy, trees",1900,2978,0
1914E2,Game with Marbles (Hard Version),"games, greedy, sortings",1400,9190,0
1914E1,Game with Marbles (Easy Version),"brute force, games, greedy, sortings",1400,9263,0
1914D,Three Activities,"brute force, dp, greedy, implementation, sortings",1200,14284,0
1914C,Quests,"greedy, math",1100,17075,0
1914B,Preparing for the Contest,"constructive algorithms, math",800,25219,0
1914A,Problemsolving Log,"implementation, strings",800,26024,0
1913F,Palindromic Problem,"binary search, data structures, hashing, string suffix structures, strings",2800,216,1
1913E,Matrix Problem,"flows, graphs",2400,712,1
1913D,Array Collapse,"data structures, divide and conquer, dp, trees",2100,2167,1
1913C,Game with Multiset,"binary search, bitmasks, brute force, greedy",1300,11269,1
1913B,Swap and Delete,strings,1000,16355,1
1913A,Rating Increase,implementation,800,19698,1
1912L,LOL Lovers,strings,800,4927,0
1912K,Kim's Quest,"bitmasks, combinatorics, dp",1800,1424,0
1912J,Joy of Pokémon Observation,,2300,400,0
1912I,Innovative Washing Machine,"geometry, math, two pointers",3300,38,0
1912H,Hypercatapult Commute,graphs,2400,284,0
1912G,Great City Saint Petersburg,data structures,2400,319,0
1912F,Fugitive Frenzy,"math, probabilities",3100,70,0
1912E,Evaluate It and Back Again,"constructive algorithms, implementation, math",2200,580,0
1912D,Divisibility Test,math,1900,999,0
1912C,Cactus Transformation,constructive algorithms,3300,33,0
1912B,Blueprint for Seating,"combinatorics, divide and conquer, math",2000,713,0
1912A,Accumulator Apex,"data structures, implementation, sortings",1800,1417,0
1910J,Two Colors,*special,2900,33,1
1910I,Inverse Problem,"*special, combinatorics, dp",2700,32,1
1910H,Sum of Digits of Sums,"*special, binary search, data structures",2400,67,1
1910G,Pool Records,"*special, greedy",2700,42,1
1910F,Build Railway Stations,"*special, greedy, trees",2000,133,1
1910E,Maximum Sum Subarrays,"*special, dp",2100,140,1
1910D,Remove and Add,"*special, greedy",1800,242,1
1910C,Poisonous Swamp,"*special, *special, implementation, implementation",1600,473,1
1910B,Security Guard,"*special, greedy",1700,475,1
1910A,Username,"*special, implementation",1100,1213,1
1909I,Short Permutation Problem,"combinatorics, dp, fft, math",3500,42,0
1909H,Parallel Swaps Sort,"constructive algorithms, data structures",3500,31,0
1909G,Pumping Lemma,"hashing, strings",3000,249,1
1909F2,Small Permutation Problem (Hard Version),"combinatorics, dp, math",2500,691,0
1909F1,Small Permutation Problem (Easy Version),"brute force, combinatorics, dp, math",2200,1419,1
1909E,Multiple Lamps,"bitmasks, brute force, constructive algorithms, math, number theory",2400,1067,1
1909D,Split Plus K,"greedy, math, number theory",1900,3281,1
1909C,Heavy Intervals,"constructive algorithms, data structures, dsu, greedy, math, sortings",1400,8195,1
1909B,Make Almost Equal With Mod,"bitmasks, constructive algorithms, math, number theory",1200,10820,1
1909A,Distinct Buttons,"implementation, math",800,14023,1
1907G,Lights,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation",2200,1527,0
1907F,Shift and Reverse,"greedy, sortings",1800,3676,0
1907E,Good Triples,"brute force, combinatorics, number theory",1600,7266,0
1907D,Jumping Through Segments,"binary search, constructive algorithms",1400,9843,0
1907C,Removal of Unattractive Pairs,"constructive algorithms, greedy, math, strings",1100,15866,0
1907B,YetnotherrokenKeoard,"data structures, implementation, strings",1000,20045,0
1907A,Rook,implementation,800,30036,0
1906M,Triangle Construction,"greedy, math",1700,1717,0
1906L,Palindromic Parentheses,constructive algorithms,2500,345,0
