Tags/Difficult ,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500
math,8653754,2221813,2435248,1898490,1619713,1632328,1202205,1247075,911569,896730,468095,397785,307987,247649,207686,143212,101746,74451,54301,43184,24111,20605,14116,11155,9210,5891,3788,4030
greedy,6757143,2033269,2001329,1945546,1950428,1670729,1738312,1457682,1133982,859202,702781,551968,406809,235359,196567,115248,102384,73461,40228,24390,18709,13243,8740,6443,3760,4571,2068,2285
implementation,13030312,2734435,2812656,2155792,2265842,1678878,1416813,1180688,783199,626045,403299,285052,223073,138129,113168,66728,51039,39750,16107,14240,10135,4238,3611,3077,2763,607,571,1295
dp,496070,327985,210025,500569,556034,556473,607302,826447,643761,698822,539657,493755,408926,323288,257192,162384,151689,122507,84327,50365,40425,25440,24268,11007,10519,5976,3051,6744
data structures,272499,85332,136519,466114,386210,400553,549421,523081,496015,515578,273190,380307,293604,274496,202050,182881,178469,92081,64295,49294,42263,18921,26903,18010,16125,11186,6570,6981
constructive algorithms,3074362,700884,1101587,840021,1068000,726218,836933,688622,558545,557653,392197,340452,247611,167002,135601,67986,83918,63548,35184,25351,17922,6573,9893,5737,4728,2708,1935,3971
brute force,4261607,953141,1149973,1162050,966999,807438,699845,855163,656948,515343,289160,283716,237750,143612,121025,63929,66286,51694,27742,15667,12877,10594,8288,1804,2614,1515,441,2540
graphs,80209,54608,80361,67367,143989,242823,261201,310258,276552,348889,221261,265304,188768,160845,123754,90090,98566,57519,44803,26893,26035,8083,12566,4203,8238,3666,3281,3696
sortings,2088902,830657,649056,895300,985913,599691,697970,563594,360327,281741,295166,198224,141081,114537,70388,69359,45520,28219,11559,7075,6834,1589,5217,2298,175,1740,407,793
binary search,183505,16895,205402,481068,478563,534516,500680,519874,485802,431229,289794,290721,185322,146683,111744,58819,69989,45499,16146,17438,7765,7780,7930,4078,2419,3840,1458,2416
dfs and similar,56647,73939,115535,57572,217762,178402,273493,336193,299919,316310,195297,259815,212806,180487,133736,86696,81139,54399,33090,22768,19424,9883,9479,2870,5024,1362,1584,1261
trees,29128,37149,0,34508,58032,105260,61015,160390,220998,141400,185784,195859,145792,147016,95703,87000,85164,46449,27041,29563,26819,12583,13389,7367,9421,3505,4601,3021
number theory,906769,452390,525699,370688,303349,524753,390406,354239,339361,239731,174304,125721,96520,81820,65091,56940,41271,27707,17531,12855,6947,8562,2307,4805,2067,2155,1469,1698
strings,3635160,672639,938349,488604,322242,330101,273476,311030,236228,215073,139523,107027,85400,58210,50279,26294,21445,17407,12174,9346,9096,3170,4531,802,3090,1684,577,1251
combinatorics,178446,112413,119163,109240,61432,309714,147172,209763,130873,174295,94957,148019,83836,89023,54035,67858,45639,39952,27476,20122,10337,12518,5941,4622,3379,3009,1696,1650
bitmasks,372413,65654,127913,178761,164774,222981,191817,134085,124347,202160,114301,132616,90958,68244,77325,39209,52385,43655,21985,13601,7838,6222,6878,2864,2981,1319,89,2286
two pointers,346079,11518,196707,172606,394166,277491,311285,325771,280883,267928,181717,136864,115327,64481,55887,32293,31333,27977,9330,5761,4554,2023,4497,903,907,798,393,977
*special,266789,21853,15732,100383,52053,25599,46189,191212,24622,25084,11590,13167,14242,5298,3996,2017,656,1727,535,713,567,487,101,93,93,0,38,0
geometry,340273,99685,157286,140091,81649,44857,118536,65620,64246,89744,37466,36709,29594,33664,18181,17787,16292,13419,13772,11668,3595,3998,2378,1154,1159,2096,192,991
dsu,20897,0,19625,31858,53887,82329,138435,144752,90976,117276,55602,103210,72751,57479,33445,48005,36824,30500,11483,13619,4915,4352,2808,3649,938,1089,502,1383
divide and conquer,0,0,0,0,18333,13640,10037,40801,43756,26645,58937,55273,17947,36595,40921,18177,38757,25104,22286,14577,14148,5553,10125,3090,2912,900,2577,1237
shortest paths,120907,0,17929,38925,0,40199,62901,76324,67528,144646,67894,122964,51646,50909,29536,28069,28001,10607,12362,8488,4383,1981,4336,998,711,504,937,145
probabilities,103955,0,0,18469,0,38603,0,27360,15368,27709,41396,31581,24164,17659,22294,29357,18711,13321,16659,9118,6453,6240,5583,1381,1935,869,205,559
interactive,0,13543,0,0,12649,32129,33261,353,47966,40422,47519,34230,46806,19635,27504,12855,17901,6672,9006,5608,5532,1792,4780,789,2409,688,572,1204
games,399411,65480,28628,112121,148625,83897,114897,38933,36842,69811,39335,38552,23955,26807,8333,10425,5839,8821,5665,4758,916,1249,553,1457,1498,0,344,1068
hashing,0,0,0,13236,75253,112947,31645,68940,53930,72915,48724,51060,30829,24592,24884,16926,25127,12213,7331,9271,5239,1436,2722,492,1071,726,119,544
flows,39870,0,0,23338,0,9421,13910,167,8730,0,32044,12275,19347,10438,12272,9494,13673,6514,4868,4468,5448,5354,2889,1936,2055,1545,870,368
matrices,0,18778,0,0,0,0,19178,20094,17343,16622,5775,12773,5935,17699,3242,15371,13718,6896,5246,7710,1824,2320,3229,1152,1321,337,94,152
fft,0,0,0,0,0,0,0,0,0,0,0,4450,9873,0,3104,4723,9131,5933,7217,5033,2880,2316,682,3744,1929,1361,1467,1128
string suffix structures,22252,0,0,0,0,0,0,11389,11784,16819,16334,11258,20460,5381,12048,6501,12921,3689,4798,5298,5161,1358,2558,1390,1513,2346,1214,800
graph matchings,144264,0,0,54161,44408,0,0,45,0,1483,20211,6087,7179,6949,15503,949,10275,6422,3162,1187,5816,1206,187,1167,1006,845,899,119
ternary search,0,0,0,17635,0,16027,47066,13882,11224,16389,16954,10109,20875,21435,9103,1715,2989,3873,883,0,0,0,0,0,0,0,0,64
meet-in-the-middle,0,0,0,0,0,7276,13048,12225,0,7675,7927,13743,0,11072,3647,2785,3634,2124,2851,1951,691,1638,410,299,72,65,257,126
expression parsing,54914,0,0,9761,0,7469,9297,25538,15311,6297,7415,0,816,1396,261,571,0,0,1321,0,0,0,468,0,0,0,86,0
2-sat,22252,0,0,0,0,0,0,16390,0,0,0,14687,18135,2435,4374,1253,5168,438,2209,1555,1033,0,0,649,831,0,101,0
chinese remainder theorem,0,0,14562,0,0,0,0,0,0,8038,5401,0,13405,4340,3372,1302,0,0,890,1873,465,1551,0,0,0,0,0,159
schedules,0,5405,0,0,7119,13831,9275,0,0,0,0,0,12830,0,0,0,0,334,0,0,0,131,0,0,0,111,0,0
